"huc8","population","area_m2","nColleges","nLentic","nLotic","nhdFeatures","padus_area_m2","area_km2","padus_area_km2","popDens","eduDens","parkDens","nSites","siteDens","med_age","med_income","bachDeg25p","vacRecHs","openWater","developed","forest","plantCult","wetland"
"17110002",145500,2866812442.08352,0,44,392,436,116968747.089418,2866.81244208352,116.968747089418,50.7532330556842,0,0.0408009765035094,8,0.0027905557693847,43.5,55696.5,0.18394939592889,0.645107468838944,0.364559819413093,0.0220090293453725,0.109762979683973,0.104119638826185,0.0251128668171557
"17110003",15551,3130119594.7074,0,51,95,146,57123010.2226347,3130.1195947074,57.1230102226347,4.96818077695644,0,0.0182494657134577,25,0.00798691527386735,53.4,50919,0.265656647492506,0.841015791720017,0.324198552223371,0.00258531540847984,0.104963805584281,0.0232678386763185,0.00103412616339193
"17110004",202436,2639259940.9579,5,70,1022,1092,1087281864.29094,2639.2599409579,1087.28186429094,76.7018044939247,0.0018944704621195,0.411964675179482,99,0.0375105151499661,38.5,51714,0.205259896196452,0.477778973420854,0.0758366595026098,0.039914031317163,0.561252686521339,0.152594412035615,0.0190359226281854
"17110005",20189,5205504507.64603,0,123,1242,1365,3879321900.69097,5205.50450764603,3879.32190069097,3.87839448997608,0,0.74523456756072,3,0.000576313015499937,41.5,48173,0.129524226503211,0.784381915902624,0.0152410575427683,0,0.596423017107309,0.00202177293934681,0.0015552099533437
"17110006",24366,1896859529.76488,0,83,557,640,1778663268.2799,1896.85952976488,1778.6632682799,12.8454424893657,0,0.937688447863279,1,0.000527187166107103,43.65,47491.5,0.148500408449061,0.65211810012837,0,0.00128314798973482,0.857998289136014,0.00384944396920445,0.00342172797262618
"17110007",105830,1173814113.90033,2,29,474,503,336676227.060468,1173.81411390033,336.676227060468,90.1590794886167,0.001703847292613,0.286822438982068,0,0,39.25,55809.5,0.128619760307357,0.300142925202477,0.0185694635488308,0.0440165061898211,0.625171939477304,0.220082530949106,0.0220082530949106
"17110008",88422,1818761480.36163,0,59,573,632,1048363173.92512,1818.76148036163,1048.36317392512,48.6166003375103,0,0.576415976061177,4,0.00219929883230464,40.4,67576,0.135875867701102,0.442064923354373,0.0048932384341637,0.0209074733096085,0.795373665480426,0.0862989323843417,0.00800711743772242
"17110009",70049,2156481257.87819,0,175,777,952,1685490563.40192,2156.48125787819,1685.49056340192,32.4830089499237,0,0.781592957158511,4,0.00185487352852567,38.8,66304,0.175153387036187,0.677406575993662,0.00677200902934537,0.0127915726109857,0.870579382994733,0.0191873589164786,0.00451467268623025
"17110010",104383,1788750021.8105,0,296,716,1012,937649701.558854,1788.7500218105,937.649701558854,58.355275319213,0,0.524192698882431,464,0.259399018500281,39.2,101647,0.30439062522619,0.590275416524991,0.00407608695652174,0.0240036231884058,0.847373188405797,0.0403079710144927,0.00815217391304348
"17110011",322922,768686541.571948,1,50,318,368,144535927.581074,768.686541571948,144.535927581074,420.095816091213,0.0013009203959198,0.188029736133406,10,0.013009203959198,35.7,69066,0.169657086793175,0.178604284400053,0.0168776371308017,0.287974683544303,0.433544303797469,0.135021097046413,0.0843881856540084
